movieid,moviename,genres
4871,"Baran (2001)",Adventure|Drama|Romance
4874,"No Man's Land (2001)",Drama
4881,"Not Another Teen Movie (2001)",Comedy
4882,"Vanilla Sky (2001)",Drama|Romance|Thriller
4885,"Lantana (2001)",Drama|Mystery|Thriller
4896,"How High (2001)",Comedy
4897,"Jimmy Neutron: Boy Genius (2001)",Adventure|Animation|Children|Comedy
4898,"Joe Somebody (2001)",Comedy|Drama|Romance
4899,"Kate & Leopold (2001)",Comedy|Romance
4917,"Black Hawk Down (2001)",Action|Drama|War
4918,"Charlotte Gray (2001)",Drama|Romance
4920,"Gosford Park (2001)",Comedy|Drama|Mystery
4921,"I Am Sam (2001)",Comedy|Drama
4922,"Monster's Ball (2001)",Drama|Romance
4932,"Orange County (2002)",Comedy
4954,"Kung Pow: Enter the Fist (2002)",Action|Comedy
4955,"Snow Dogs (2002)",Comedy
4980,"Storytelling (2001)",Comedy|Drama
4986,"Slackers (2002)",Comedy
4987,"Birthday Girl (2001)",Drama|Romance
4989,"Rare Birds (2001)",Comedy|Drama
4998,"Big Fat Liar (2002)",Children|Comedy
4999,"Collateral Damage (2002)",Action|Thriller
5000,"Rollerball (2002)",Action|Sci-Fi
5001,"Scotland, Pa. (2001)",Comedy|Crime
5013,"Hart's War (2002)",Drama|War
5014,"John Q (2002)",Drama|Thriller
5015,"Return to Never Land (2002)",Adventure|Animation|Children
5016,"Super Troopers (2001)",Comedy|Crime
5018,"Last Orders (2001)",Drama
5034,"Queen of the Damned (2002)",Fantasy|Horror
5035,"Big Bad Love (2001)",Drama
5036,"Green Dragon (2001)",Drama
5040,"Mean Machine (2001)",Comedy|Drama
5041,"Monsoon Wedding (2001)",Comedy|Romance
5042,"Wendigo (2001)",Drama|Horror
5044,"State Property (2002)",Action|Crime|Drama
5057,"40 Days and 40 Nights (2002)",Comedy|Romance
5058,"We Were Soldiers (2002)",Action|Drama|War
5059,"Trouble Every Day (2001)",Drama|Horror|Thriller
5076,"All About the Benjamins (2002)",Action|Comedy|Crime
5078,"Full Frontal (2002)",Comedy|Drama|Romance
5123,"Ice Age (2002)",Adventure|Animation|Children|Comedy
5125,"Showtime (2002)",Action|Comedy
5127,"Kissing Jessica Stein (2001)",Comedy|Romance
5159,"Blade II (2002)",Action|Horror|Thriller
5160,"Sorority Boys (2002)",Comedy
5161,"Stolen Summer (2002)",Drama
5169,"Clockstoppers (2002)",Action|Sci-Fi
5170,"Death to Smoochy (2002)",Comedy
5171,"Panic Room (2002)",Thriller
5173,"No Such Thing (2001)",Drama|Fantasy|Romance
5176,"30 Years to Life (2001)",Comedy|Drama|Romance
5178,"Very Annie Mary (2001)",Comedy|Musical
5187,"High Crimes (2002)",Thriller
5188,"Van Wilder (2002)",Comedy
5190,"Lucky Break (2001)",Comedy|Crime
5198,"Changing Lanes (2002)",Drama|Thriller
5199,"Frailty (2001)",Thriller
5200,"New Best Friend (2002)",Drama|Thriller
5203,"Human Nature (2001)",Comedy|Romance
5204,"My Big Fat Greek Wedding (2002)",Comedy|Romance
5217,"Murder by Numbers (2002)",Crime|Thriller
5220,"Chelsea Walls (2001)",Drama
5223,"Joshua (2001)",Drama
5227,"World Traveler (2001)",Drama
5229,"Life or Something Like It (2002)",Comedy|Romance
5231,"Frank McKlusky, C.I. (2002)",Comedy
5233,"Rain (2001)",Drama|Romance
5235,"Some Body (2001)",Drama
5252,"Deuces Wild (2002)",Drama
5253,"Hollywood Ending (2002)",Comedy|Drama
5254,"Spider-Man (2002)",Action|Adventure|Sci-Fi|Thriller
5269,"Unfaithful (2002)",Drama|Thriller
5282,"About a Boy (2002)",Comedy|Drama
5283,"Star Wars: Episode II - Attack of the Clones (2002)",Action|Adventure|Sci-Fi
5292,"Enough (2002)",Drama|Thriller
5293,"Insomnia (2002)",Action|Crime|Drama|Mystery|Thriller
5294,"Spirit: Stallion of the Cimarron (2002)",Animation|Children|Western
5295,"CQ (2001)",Drama
5306,"Undercover Brother (2002)",Comedy
5319,"Bad Company (2002)",Action|Comedy|Crime
5320,"Divine Secrets of the Ya-Ya Sisterhood (2002)",Comedy|Drama
5321,"Cherish (2002)",Comedy|Drama|Thriller
5324,"Scooby-Doo (2002)",Adventure|Children|Comedy
5325,"Windtalkers (2002)",Action|Drama|War
5329,"Harvard Man (2001)",Crime|Drama|Romance|Thriller
5348,"Juwanna Mann (2002)",Comedy
5349,"Lilo & Stitch (2002)",Animation|Children
5350,"Minority Report (2002)",Action|Crime|Mystery|Sci-Fi|Thriller
5351,"Rabbit-Proof Fence (2002)",Adventure|Drama
5352,"Sunshine State (2002)",Drama
5353,"Hey Arnold! The Movie (2002)",Animation|Children
5354,"Mr. Deeds (2002)",Comedy|Romance
5355,"Lovely & Amazing (2001)",Comedy
5356,"Pumpkin (2002)",Comedy|Drama|Romance
5363,"Like Mike (2002)",Children|Comedy|Fantasy
5364,"Men in Black II (2002)",Action|Comedy|Sci-Fi
5366,"Me Without You (2001)",Comedy|Drama
5368,"Reign of Fire (2002)",Action|Adventure|Fantasy|Sci-Fi
5369,"Road to Perdition (2002)",Crime|Drama
5372,"Never Again (2001)",Comedy|Romance
5381,"Halloween: Resurrection (2002)",Horror|Thriller
5383,"Eight Legged Freaks (2002)",Action|Comedy|Horror|Sci-Fi
5384,"K-19: The Widowmaker (2002)",Action|Adventure|Drama|Thriller
5385,"Stuart Little 2 (2002)",Children|Comedy
5386,"Austin Powers in Goldmember (2002)",Comedy
5391,"Who Is Cletis Tout? (2001)",Comedy
5407,"Signs (2002)",Sci-Fi|Thriller
5411,"Blood Work (2002)",Crime|Drama|Mystery|Thriller
5413,"24 Hour Party People (2002)",Comedy|Drama|Musical
5414,"Biggie and Tupac (2002)",Documentary
5416,"Pandora's Box (2002)",Drama|Thriller
5418,"Martin Lawrence Live: Runteldat (2002)",Comedy|Documentary
5419,"Lan Yu (2001)",Drama|Romance
5429,"Blue Crush (2002)",Adventure|Drama|Romance
5432,"Possession (2002)",Drama|Romance
5433,"One Hour Photo (2002)",Drama|Thriller
5434,"Serving Sara (2002)",Comedy|Romance
5436,"Undisputed (2002)",Drama
5438,"Children On Their Birthdays (2002)",Drama
5439,"Hush! (2001)",Drama
5442,"Satin Rouge (2002)",Drama|Musical
5463,"Love and a Bullet (2002)",Action|Crime
5467,"Snipes (2001)",Drama|Thriller
5468,"City by the Sea (2002)",Crime|Drama
5469,"Swimfan (2002)",Thriller
5471,"Heartbreak Hospital (2002)",Comedy|Thriller
5477,"Barbershop (2002)",Comedy|Crime
5478,"Stealing Harvard (2002)",Comedy|Crime
5482,"Igby Goes Down (2002)",Comedy|Drama
5512,"Ballistic: Ecks vs. Sever (2002)",Action|Sci-Fi|Thriller
5515,"Trapped (2002)",Action|Thriller
5518,"Invincible (2001)",Drama
5520,"Secretary (2002)",Comedy|Drama|Romance
5523,"Sweet Home Alabama (2002)",Comedy|Romance
5525,"Charly (2002)",Comedy|Drama|Romance
5526,"Crazy as Hell (2002)",Drama
5527,"Just a Kiss (2002)",Comedy|Romance
5528,"Moonlight Mile (2002)",Drama|Romance
5530,"Skins (2002)",Crime|Drama
5531,"Wasabi (2001)",Action|Comedy|Drama
5532,"Jonah: A VeggieTales Movie (2002)",Animation|Children|Musical
5533,"Red Dragon (2002)",Crime|Mystery|Thriller
5534,"Between Strangers (2002)",Drama
5535,"Bloody Sunday (2002)",Drama
5536,"Heaven (2002)",Drama
5537,"Pipe Dream (2002)",Drama
5539,"Welcome to Collinwood (2002)",Comedy
5559,"Festival in Cannes (2001)",Drama
5567,"Brown Sugar (2002)",Romance
5570,"Tuck Everlasting (2002)",Drama|Fantasy
5571,"White Oleander (2002)",Drama
5572,"Bowling for Columbine (2002)",Documentary
5573,"Comedian (2002)",Comedy|Documentary
5576,"Punch-Drunk Love (2002)",Comedy|Drama|Romance|Thriller
5578,"Swept Away (2002)",Comedy|Romance
5580,"Abandon (2002)",Drama|Thriller
5583,"Auto Focus (2002)",Crime|Drama
5584,"Fidel (2001)",Documentary
5586,"Hansel & Gretel (2002)",Children|Fantasy
5588,"Real Women Have Curves (2002)",Comedy|Drama
5686,"Derrida (2002)",Documentary
5687,"Ghost Ship (2002)",Horror
5688,"Jackass: The Movie (2002)",Action|Comedy
5689,"Paid in Full (2002)",Action|Drama
5691,"All or Nothing (2002)",Comedy|Drama
5692,"All the Queen's Men (2001)",Comedy|War
5694,"Frida (2002)",Drama|Romance
5695,"Roger Dodger (2002)",Comedy|Drama
5696,"Time Changer (2002)",Drama|Sci-Fi
5701,"Escanaba in da Moonlight (2001)",Comedy
5706,"I Spy (2002)",Action|Adventure|Comedy|Crime
5708,"Besotted (2001)",Drama
5710,"Love In the Time of Money (2002)",Comedy|Drama
5712,"Femme Fatale (2002)",Crime|Thriller
5713,"8 Mile (2002)",Drama
5715,"Far from Heaven (2002)",Drama|Romance
5718,"Half Past Dead (2002)",Action|Crime|Thriller
5720,"Ararat (2002)",Drama
5722,"Interview with the Assassin (2002)",Drama
5723,"Standing in the Shadows of Motown (2002)",Documentary
5727,"Liberty Stands Still (2002)",Action|Drama|Thriller
5732,"Men with Brooms (2002)",Comedy|Drama|Romance
5734,"Soul Assassin (2001)",Action|Crime|Thriller
5735,"Left Behind II: Tribulation Force (2002)",Drama
5736,"Dog Soldiers (2002)",Action|Horror
5773,"Revolution #9 (2001)",Thriller
5775,"Die Another Day (2002)",Action|Adventure|Thriller
5777,"Friday After Next (2002)",Comedy
5782,"Extreme Ops (2002)",Action|Adventure|Crime|Thriller
5783,"Solaris (2002)",Drama|Romance|Sci-Fi
5784,"Treasure Planet (2002)",Adventure|Animation|Children|Sci-Fi
5785,"They (2002)",Horror|Thriller
5792,"Elling (2001)",Comedy|Drama
5802,"Analyze That (2002)",Comedy
5805,"Equilibrium (2002)",Action|Sci-Fi|Thriller
5806,"My Kingdom (2001)",Drama
5842,"Drumline (2002)",Comedy|Drama|Musical|Romance
5844,"Maid in Manhattan (2002)",Comedy|Romance
5845,"Star Trek: Nemesis (2002)",Action|Drama|Sci-Fi|Thriller
5846,"About Schmidt (2002)",Comedy|Drama
5848,"Evelyn (2002)",Drama
5852,"Morvern Callar (2002)",Drama
5855,"25th Hour (2002)",Crime|Drama
5856,"Antwone Fisher (2002)",Drama
5857,"Gangs of New York (2002)",Crime|Drama
5858,"Two Weeks Notice (2002)",Comedy|Romance
5860,"Narc (2002)",Crime|Drama|Thriller
5890,"Catch Me If You Can (2002)",Crime|Drama
5891,"Pinocchio (2002)",Children|Comedy|Fantasy
5895,"Nicholas Nickleby (2002)",Adventure|Drama
5897,"Sonny (2002)",Crime|Drama
5903,"Love Liza (2002)",Drama
5904,"Confessions of a Dangerous Mind (2002)",Action|Comedy|Drama
5906,"Blue Collar Comedy Tour: The Movie (2003)",Comedy|Documentary
5907,"Just Married (2003)",Comedy|Romance
5911,"Double Whammy (2001)",Action|Comedy|Drama
5912,"Wisegirls (2002)",Crime|Drama
5914,"Kangaroo Jack (2003)",Action|Comedy
5915,"National Security (2003)",Action|Comedy
5941,"Darkness Falls (2003)",Horror|Thriller
5942,"Amen. (2002)",Drama
5958,"Biker Boyz (2003)",Action|Crime|Drama
5959,"Final Destination 2 (2003)",Horror|Thriller
5962,"Kedma (2002)",Drama|War
5963,"Lost In La Mancha (2002)",Documentary
5964,"May (2002)",Drama|Horror
6055,"Deliver Us from Eva (2003)",Comedy|Romance
6056,"How to Lose a Guy in 10 Days (2003)",Comedy|Romance
6057,"Shanghai Knights (2003)",Action|Adventure|Comedy
6058,"Daredevil (2003)",Action|Crime|Fantasy
6060,"All the Real Girls (2003)",Drama|Romance
6063,"Gerry (2002)",Adventure|Drama
6066,"Ordinary Sinner (2001)",Drama|Romance
6087,"Gods and Generals (2003)",Action|Drama|War
6089,"Old School (2003)",Comedy
6090,"Dischord (2001)",Drama|Thriller
6094,"Poolhall Junkies (2002)",Comedy|Drama|Thriller
6097,"Cradle 2 the Grave (2003)",Action|Crime|Thriller
6098,"Spider (2002)",Drama|Mystery
6113,"Bringing Down the House (2003)",Comedy
6114,"Tears of the Sun (2003)",Action|Drama|Thriller
6116,"Laurel Canyon (2002)",Drama
6119,"Bend It Like Beckham (2002)",Adventure|Comedy|Drama|Romance
6121,"Willard (2003)",Horror
6122,"Gaudi Afternoon (2001)",Comedy|Drama|Mystery
6123,"Prozac Nation (2001)",Drama
6151,"Dreamcatcher (2003)",Comedy|Horror|Sci-Fi
6152,"Piglet's Big Movie (2003)",Animation|Children
6163,"Basic (2003)",Drama|Thriller
6165,"Head of State (2003)",Comedy
6166,"What a Girl Wants (2003)",Comedy|Drama|Romance
6167,"Assassination Tango (2002)",Drama|Thriller
6168,"Raising Victor Vargas (2002)",Comedy|Drama|Romance
6169,"Stevie (2002)",Documentary
6181,"Phone Booth (2002)",Drama|Thriller
6184,"DysFunktional Family (2003)",Comedy|Documentary
6185,"Levity (2003)",Drama
6187,"Anger Management (2003)",Comedy
6188,"Better Luck Tomorrow (2002)",Crime|Drama
6189,"Ghosts of the Abyss (2003)",Documentary|IMAX
6190,"House of 1000 Corpses (2003)",Horror
6192,"Marion Bridge (2002)",Drama
6193,"XX/XY (2002)",Drama|Romance
6194,"Bulletproof Monk (2003)",Action|Adventure|Sci-Fi
6198,"Malibu's Most Wanted (2003)",Comedy|Crime
6206,"I Am Trying to Break Your Heart (2002)",Documentary
6222,"Confidence (2003)",Crime|Drama|Thriller
6223,"Identity (2003)",Crime|Horror|Mystery|Thriller
6224,"It Runs in the Family (2003)",Comedy|Drama
6226,"City of Ghosts (2002)",Crime|Drama|Thriller
6229,"Manic (2001)",Drama
6230,"People I Know (2002)",Crime|Drama
6231,"Spellbound (2002)",Comedy|Documentary
6234,"Blue Car (2002)",Drama
6237,"Owning Mahowny (2003)",Crime|Drama|Thriller
6238,"Daddy Day Care (2003)",Children|Comedy
6243,"Washington Heights (2002)",Drama|Romance
6261,"Down with Love (2003)",Comedy|Romance
6262,"Cinemania (2002)",Documentary
6263,"Friends and Family (2001)",Comedy
6266,"Bruce Almighty (2003)",Comedy
6268,"Gigantic (A Tale of Two Johns) (2002)",Documentary
6269,"Respiro (2002)",Comedy|Drama
6270,"Finding Nemo (2003)",Adventure|Animation|Children|Comedy
6273,"Capturing the Friedmans (2003)",Documentary
6277,"Love the Hard Way (2001)",Crime|Drama|Romance
6278,"Whale Rider (2002)",Drama
6371,"Dumb and Dumberer: When Harry Met Lloyd (2003)",Comedy
6372,"From Justin to Kelly (2003)",Musical|Romance
6373,"Hollywood Homicide (2003)",Action|Crime|Drama
6379,"Manito (2002)",Drama
6380,"No Turning Back (2001)",Adventure|Drama|Thriller
6392,"Charlie's Angels: Full Throttle (2003)",Action|Adventure|Comedy|Crime|Thriller
6423,"Hulk (2003)",Action|Adventure|Sci-Fi
6424,"Legally Blonde 2: Red, White & Blonde (2003)",Comedy
6425,"Sinbad: Legend of the Seven Seas (2003)",Adventure|Animation|Children|Comedy
6426,"Terminator 3: Rise of the Machines (2003)",Action|Adventure|Sci-Fi
6427,"Swimming Pool (2003)",Drama|Mystery|Thriller
6428,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)",Action|Adventure|Comedy|Fantasy
6434,"I Capture the Castle (2003)",Drama|Romance
6436,"Northfork (2003)",Drama|Fantasy
6437,"Bad Boys II (2003)",Action|Comedy|Crime|Thriller
6438,"How to Deal (2003)",Comedy|Drama|Romance
6439,"Johnny English (2003)",Action|Comedy|Thriller
6441,"Dirty Pretty Things (2002)",Drama|Thriller
6443,"Garage Days (2002)",Comedy|Musical
6453,"Lara Croft Tomb Raider: The Cradle of Life (2003)",Action|Adventure|Comedy|Romance|Thriller
6454,"Seabiscuit (2003)",Drama
6455,"Spy Kids 3-D: Game Over (2003)",Action|Adventure|Children
6456,"Buffalo Soldiers (2001)",Comedy|Crime|Drama|War
6475,"American Wedding (2003)",Comedy
6476,"Gigli (2003)",Action|Crime|Drama
6478,"Boys Life 4: Four Play (2003)",Comedy|Drama
6479,"I'll Be There (2003)",Comedy|Musical|Romance
6482,"Freaky Friday (2003)",Comedy|Drama
6484,"S.W.A.T. (2003)",Action|Thriller
6495,"Purpose (2002)",Drama
6504,"Freddy Vs. Jason (2003)",Action|Horror|Thriller
6505,"Grind (2003)",Action|Comedy
6506,"Open Range (2003)",Western
6508,"Uptown Girls (2003)",Comedy
6509,"American Splendor (2003)",Comedy|Drama
6512,"Passionada (2002)",Comedy|Romance
6513,"Agent Cody Banks (2003)",Action|Adventure|Children|Fantasy
6540,"Ash Wednesday (2002)",Crime|Drama
6561,"War Photographer (2001)",Documentary
6568,"Revolution OS (2001)",Documentary
6574,"Marci X (2003)",Comedy|Musical
6576,"My Boss's Daughter (2003)",Comedy|Romance
6581,"Stoked: The Rise and Fall of Gator (2002)",Documentary
6585,"Bollywood/Hollywood (2002)",Comedy|Drama|Musical|Romance
6586,"Civil Brand (2002)",Drama
6588,"Once Upon a Time in the Midlands (2002)",Drama
6591,"Dickie Roberts: Former Child Star (2003)",Comedy
6593,"Home Room (2002)",Drama
6594,"Party Monster (2003)",Comedy|Crime|Drama|Thriller
6595,"Taking Sides (2001)",Drama
6596,"Cabin Fever (2002)",Horror|Thriller
6597,"Matchstick Men (2003)",Comedy|Crime|Drama
6598,"Once Upon a Time in Mexico (2003)",Action|Adventure|Crime|Thriller
6599,"Dummy (2002)",Comedy|Drama|Romance
6600,"Lost in Translation (2003)",Comedy|Drama|Romance
6601,"Luster (2002)",Comedy|Drama|Romance
6626,"Super Sucker (2002)",Comedy
6639,"Anything Else (2003)",Comedy|Drama|Romance
6640,"Cold Creek Manor (2003)",Drama|Thriller
6642,"Secondhand Lions (2003)",Adventure|Children|Comedy|Drama
6643,"Underworld (2003)",Action|Fantasy|Horror
6644,"Bubba Ho-tep (2002)",Comedy|Horror
6645,"Casa de los babys (2003)",Drama
6646,"Demonlover (2002)",Crime|Drama|Mystery|Thriller
6649,"In This World (2002)",Adventure|Drama
6651,"Yossi & Jagger (2002)",Drama|Romance
6652,"Duplex (2003)",Comedy|Crime
6654,"Under the Tuscan Sun (2003)",Comedy|Drama|Romance
6657,"Luther (2003)",Drama
6658,"Mambo Italiano (2003)",Comedy
6659,"My Life Without Me (2003)",Drama|Romance
6664,"Life and Debt (2001)",Documentary
6665,"Lagaan: Once Upon a Time in India (2001)",Comedy|Drama|Musical|Romance
6679,"Avalon (2001)",Drama|Fantasy|Sci-Fi
6720,"Nobody's Baby (2001)",Comedy
6750,"Charlotte Sometimes (2002)",Drama|Romance
6752,"School of Rock (2003)",Comedy|Musical
6757,"Wonderland (2003)",Crime|Drama|Mystery|Thriller
6759,"Mystic River (2003)",Crime|Drama|Mystery
6760,"Good Boy! (2003)",Children|Comedy|Sci-Fi
6762,"Intolerable Cruelty (2003)",Comedy|Romance
6763,"Kill Bill: Vol. 1 (2003)",Action|Crime|Thriller
6764,"Dopamine (2003)",Comedy|Drama|Romance
6766,"Girls Will Be Girls (2003)",Comedy
6768,"Runaway Jury (2003)",Drama|Thriller
6770,"Pieces of April (2003)",Comedy|Drama
6773,"Veronica Guerin (2003)",Crime|Drama|Thriller
6774,"In the Cut (2003)",Crime|Drama|Mystery|Romance|Thriller
6775,"Beyond Borders (2003)",Drama|Romance|War
6776,"Radio (2003)",Drama
6777,"Scary Movie 3 (2003)",Comedy|Horror
6778,"Brother Bear (2003)",Adventure|Animation|Children
6780,"Gypsy 83 (2001)",Drama
6786,"Unconditional Love (2002)",Comedy|Drama
6816,"Dirt (2001)",Comedy|Crime
6818,"Mail Order Bride (2003)",Comedy
6819,"Shattered Glass (2003)",Crime|Drama
6820,"Suspended Animation (2001)",Thriller
6829,"Love Actually (2003)",Comedy|Drama|Romance
6833,"Looney Tunes: Back in Action (2003)",Action|Animation|Children|Fantasy
6834,"Master and Commander: The Far Side of the World (2003)",Action|Adventure|Drama|War
6835,"Tupac: Resurrection (2003)",Documentary
6839,"Gothika (2003)",Horror|Thriller
6840,"21 Grams (2003)",Drama|Mystery|Romance
6844,"Bad Santa (2003)",Comedy|Crime
6846,"Timeline (2003)",Adventure|Fantasy|Sci-Fi
6849,"OT: Our Town (2002)",Documentary
6850,"Devil's Playground (2002)",Documentary
6852,"Journeys with George (2002)",Documentary
6983,"Rivers and Tides (2001)",Documentary
7029,"Honey (2003)",Drama|Romance
7032,"Prisoner of Paradise (2002)",Documentary
7033,"What Alice Found (2003)",Crime|Drama
7034,"Big Fish (2003)",Drama|Fantasy|Romance
7035,"Love Don't Cost a Thing (2003)",Drama|Romance
7036,"Something's Gotta Give (2003)",Comedy|Drama|Romance
7037,"Stuck On You (2003)",Comedy
7038,"Girl with a Pearl Earring (2003)",Drama|Romance
7041,"Mona Lisa Smile (2003)",Comedy|Drama|Romance
7042,"Calendar Girls (2003)",Comedy
7045,"House of Sand and Fog (2003)",Drama
7047,"Monster (2003)",Crime|Drama|Romance|Thriller
7048,"Cheaper by the Dozen (2003)",Comedy|Drama
7049,"Cold Mountain (2003)",Drama|Romance|War
7050,"Paycheck (2003)",Action|Sci-Fi|Thriller
7051,"Peter Pan (2003)",Action|Adventure|Children|Fantasy
7054,"Japanese Story (2003)",Drama
7056,"Chasing Liberty (2004)",Comedy|Romance
7057,"My Baby's Daddy (2004)",Comedy
7058,"Aileen: Life and Death of a Serial Killer (2003)",Documentary
7060,"Along Came Polly (2004)",Comedy|Romance
7061,"Teacher's Pet (2004)",Animation|Children
7062,"Torque (2004)",Action|Crime
7064,"Osama (2003)",Drama
7086,"Melvin Goes to Dinner (2003)",Comedy|Drama
7088,"Crime Spree (2003)",Comedy|Crime
7089,"Beyond Re-Animator (2003)",Horror
