movieid,actorid,actor_movie_rank
3977,2172638,43
3977,2658306,37
3977,2679341,5
3977,2964968,41
3977,2969046,20
3977,2973503,40
3977,2977442,29
3977,2998754,3
3977,3042900,36
3977,3103703,6
3977,3193443,32
3977,3194266,31
3977,3207215,17
3977,3350366,7
3977,3447419,34
3977,3485788,33
3977,3573703,22
3977,3683597,28
3977,3707212,2
3977,3737091,35
3977,3739418,1
3977,3779767,4
3977,3911324,23
3977,3943267,9
4050,174086,34
4050,216491,43
4050,270379,8
4050,567860,9
4050,593868,23
4050,783317,33
4050,1117286,36
4050,1200586,11
4050,1208172,41
4050,1291683,39
4050,1389568,45
4050,1394917,15
4050,1580592,47
4050,1614572,25
4050,1703684,20
4050,1750462,38
4050,1781988,35
4050,1824964,26
4050,1839848,2
4050,2102347,19
4050,2112913,14
4050,2278806,22
4050,2428592,46
4050,2460473,42
4050,2525094,28
4050,2781484,7
4050,2785283,29
4050,2840979,24
4050,2903444,10
4050,2969611,6
4050,3065944,3
4050,3103150,12
4050,3269696,30
4050,3283334,13
4050,3290366,16
4050,3324459,17
4050,3364457,31
4050,3404068,4
4050,3444394,5
4050,3506790,44
4050,3564177,1
4050,3599481,37
4050,3677889,21
4050,3692329,27
4050,3711728,18
4050,3810878,32
4052,137586,39
4052,221456,26
4052,235118,20
4052,244989,2
4052,377198,8
4052,468589,9
4052,497260,21
4052,576594,23
4052,618919,25
4052,621125,13
4052,721557,40
4052,937068,12
4052,1008695,18
4052,1091677,11
4052,1399980,16
4052,1493446,37
4052,1603610,42
4052,1703334,19
4052,1727349,14
4052,1732460,31
4052,2074688,41
4052,2223833,17
4052,2401917,44
4052,2435235,27
4052,2460288,10
4052,2598691,28
4052,2695405,29
4052,2725451,35
4052,2728160,7
4052,2745844,4
4052,2751983,24
4052,2761370,5
4052,2943109,22
4052,2957039,36
4052,3049921,15
4052,3081354,6
4052,3299393,34
4052,3368115,33
4052,3415591,32
4052,3568177,43
4052,3609575,1
4052,3674114,38
4052,3707212,3
4052,3874599,30
4057,67729,10
4057,243818,36
4057,446942,29
4057,465599,16
4057,478217,27
4057,686036,5
4057,815482,6
4057,818789,15
4057,824965,24
4057,868125,17
4057,892104,11
4057,1014988,1
4057,1065874,8
4057,1067595,30
4057,1180380,20
4057,1187781,44
4057,1215872,25
4057,1294804,45
4057,1342068,22
4057,1342347,4
4057,1349677,13
4057,1395729,34
4057,1429053,14
4057,1429543,31
4057,1498756,23
4057,1625510,32
4057,1698048,3
4057,1706614,12
4057,1798485,28
4057,1830450,26
4057,1918338,18
4057,2074751,19
4057,2088486,21
4057,2142659,37
4057,2315763,39
4057,2445194,40
4057,2448571,42
4057,2525785,41
4057,2605128,43
4057,2607187,38
4057,2852494,46
4057,2931805,35
4057,3020391,9
4057,3426176,2
4057,3464199,7
4057,3552626,33
4058,87541,9
4058,87721,15
4058,208963,3
4058,218275,2
4058,341383,43
4058,388991,34
4058,555440,50
4058,577118,7
4058,613168,23
4058,668613,6
4058,734295,13
4058,735794,10
4058,753653,17
4058,797510,8
4058,842416,19
4058,890393,29
4058,906103,44
4058,1131856,22
4058,1268645,33
4058,1323996,42
4058,1352897,11
4058,1381398,30
4058,1492025,18
4058,1499087,32
4058,1618430,49
4058,1637926,27
4058,1749045,14
4058,1791370,16
4058,1875758,21
4058,1929668,39
4058,1932641,41
4058,2204659,36
4058,2311682,26
4058,2360236,40
4058,2407585,31
4058,2532241,1
4058,2605714,57
4058,2659318,54
4058,2664755,58
4058,2695405,25
4058,2749000,20
4058,2806299,55
4058,2869150,5
4058,2895386,38
4058,3094964,56
4058,3158326,51
4058,3168080,53
4058,3249101,12
4058,3288122,48
4058,3380770,24
4058,3418271,37
4058,3443625,45
4058,3478203,35
4058,3531715,4
4058,3619049,47
4058,3650544,52
4058,3727211,28
4058,3831104,46
4062,14951,6
4062,49000,29
4062,94660,28
4062,105539,35
4062,289890,16
4062,311622,37
4062,354447,30
4062,408123,10
4062,516497,17
4062,571719,18
4062,627574,53
4062,686036,5
4062,736065,43
4062,745055,45
4062,810424,7
4062,863988,39
4062,960802,46
4062,1028824,27
4062,1097264,47
4062,1127692,11
4062,1164226,52
4062,1246211,50
4062,1318890,42
4062,1324612,4
4062,1366430,15
4062,1382351,25
4062,1577020,38
4062,1648848,24
4062,1733191,3
4062,1804772,31
4062,1823941,44
4062,1907884,14
4062,1936195,48
4062,1939767,1
4062,1943346,32
4062,2461340,23
4062,2728846,36
4062,2738355,12
4062,2773404,13
4062,2806255,8
4062,3066680,22
4062,3207820,2
4062,3238199,33
4062,3261800,49
4062,3384292,20
4062,3406025,26
4062,3422120,21
4062,3722587,41
4062,3763504,34
4062,3783897,9
4062,3822855,51
4062,3833021,40
4062,3917741,19
4063,117348,13
4063,191229,29
4063,264502,20
4063,287549,35
4063,369237,33
4063,440743,7
4063,445032,1
4063,528286,2
4063,668613,22
4063,829820,30
4063,856505,8
4063,1089446,37
4063,1193336,39
4063,1253069,38
4063,1291524,4
4063,1395123,10
4063,1503672,5
4063,1617694,40
4063,1683046,21
4063,1841124,28
4063,1900212,41
4063,1913895,32
4063,1920081,27
4063,2092460,22
4063,2104258,23
4063,2176142,43
4063,2230947,44
4063,2302543,25
4063,2331676,31
4063,2398398,17
4063,2478013,34
4063,2498223,12
4063,2565099,6
4063,2647964,14
4063,2817915,16
4063,2833351,26
4063,3070317,9
4063,3157646,3
4063,3324570,19
4063,3351973,18
4063,3370085,36
4063,3732666,15
4063,3744966,42
4063,3919758,11
4064,24725,5
4064,125552,11
4064,177589,40
4064,306285,12
4064,333713,14
4064,546983,31
4064,716435,17
4064,810424,4
4064,885156,35
4064,991189,23
4064,1061413,3
4064,1062068,22
4064,1127223,6
4064,1230630,38
4064,1237191,26
4064,1237192,10
4064,1276669,9
4064,1326976,43
4064,1439368,28
4064,1474286,25
4064,1699827,24
4064,1892087,1
4064,1962015,8
4064,2517610,16
4064,2525554,33
4064,2587578,30
4064,2593230,27
4064,2615632,36
4064,2753335,15
4064,2820857,19
4064,2913609,37
4064,2992336,21
4064,3026579,7
4064,3222538,29
4064,3277339,41
4064,3357644,34
4064,3378259,39
4064,3571941,13
4064,3807179,2
4064,3834290,42
4064,3895346,18
4064,3900556,32
4064,3950684,20
4067,98799,58
4067,285432,83
4067,296580,37
4067,586230,85
4067,591913,72
4067,673308,5
4067,721842,68
4067,733399,7
4067,747713,27
4067,752528,1
4067,767117,65
4067,767121,64
4067,804790,16
4067,819216,62
4067,830566,87
4067,878445,69
4067,922331,79
4067,961457,86
4067,1003090,18
4067,1008983,75
4067,1072117,60
4067,1072584,84
4067,1116824,61
4067,1158058,4
4067,1189201,10
4067,1263113,22
4067,1278358,81
4067,1353101,31
4067,1457236,38
4067,1553570,89
4067,1691269,9
4067,1737335,25
4067,1799065,29
4067,1814404,35
4067,1875469,80
4067,1888119,47
4067,1949243,23
4067,1950564,30
4067,1953791,21
4067,1957733,26
4067,2175381,63
4067,2184832,66
4067,2187406,74
4067,2221215,39
4067,2231797,20
4067,2288948,67
4067,2311832,88
4067,2331674,3
4067,2390658,73
4067,2397533,34
4067,2465268,14
4067,2500294,32
4067,2558871,45
4067,2619922,48
4067,2671018,59
4067,2686334,44
4067,2719719,43
4067,2730714,19
4067,2901524,82
4067,2906536,71
4067,2955150,49
4067,2959123,2
4067,2992850,42
4067,3014781,12
4067,3041061,76
4067,3094259,15
4067,3106146,52
4067,3165295,33
4067,3206777,57
4067,3231843,46
4067,3259077,51
4067,3363994,53
4067,3377972,6
4067,3408531,77
4067,3409837,36
4067,3415167,50
4067,3441825,8
4067,3479904,17
4067,3551188,56
4067,3608764,78
4067,3740181,54
4067,3759017,28
4067,3807813,13
4067,3810017,24
4067,3815580,70
4067,3837525,41
4067,3891743,55
4067,3946874,40
4067,3948230,11
4068,6914,48
4068,9537,43
4068,35130,59
4068,53228,95
4068,63482,31
4068,66367,39
4068,71991,19
4068,86623,93
4068,91040,6
4068,115104,50
4068,291373,34
4068,298487,44
4068,317779,38
4068,359445,18
4068,366968,27
4068,399178,41
4068,416857,9
4068,452077,67
4068,454273,65
4068,470697,2
4068,502571,90
4068,569874,45
4068,603980,97
4068,615118,60
4068,624644,99
4068,643698,72
4068,783317,42
4068,793848,68
4068,816069,51
4068,837717,57
4068,862752,102
4068,911064,36
4068,943595,101
4068,960324,58
4068,999354,91
4068,1005278,61
4068,1012379,83
4068,1024144,14
4068,1049548,11
4068,1080214,20
4068,1122592,33
4068,1162291,12
4068,1168181,103
4068,1176518,63
4068,1225298,15
4068,1267245,89
4068,1267248,24
4068,1274694,40
4068,1298931,70
4068,1332318,54
4068,1354995,13
4068,1356497,8
4068,1366839,7
4068,1392978,53
4068,1426268,23
4068,1429556,32
4068,1444115,94
4068,1457382,100
4068,1499800,71
4068,1507135,30
4068,1539722,64
4068,1551426,21
4068,1586998,35
4068,1605998,84
4068,1683286,56
4068,1817602,5
4068,1830886,66
4068,1844623,92
4068,1983799,1
4068,1984667,26
4068,2130920,104
4068,2131839,4
4068,2175132,46
4068,2183826,105
4068,2228355,47
4068,2329949,52
4068,2399870,28
4068,2443574,69
4068,2496883,10
4068,2532755,62
4068,2664732,76
4068,2722286,55
4068,2741506,25
4068,2748968,88
4068,2772516,37
4068,2776182,85
4068,2813307,29
4068,2816072,3
4068,2981112,73
4068,3017064,82
4068,3025579,74
4068,3063880,80
4068,3076213,22
4068,3246080,78
4068,3247503,87
4068,3251156,75
4068,3269259,96
4068,3274254,17
4068,3287067,86
4068,3316474,79
4068,3373958,77
4068,3374191,16
4068,3446053,81
4068,3727211,49
4068,3783332,98
4071,61523,7
4071,91040,1
4071,216491,19
4071,298487,11
4071,377198,14
4071,607764,27
4071,623809,2
4071,735794,25
4071,947696,13
4071,1012153,28
4071,1115141,5
4071,1288686,16
4071,1367005,21
4071,1542190,15
4071,1681059,35
4071,2042319,6
4071,2102347,20
4071,2142542,10
4071,2160836,8
4071,2220630,26
4071,2239879,30
4071,2393449,4
4071,2658539,32
4071,2670619,3
4071,2823587,33
4071,3076213,9
4071,3102915,12
4071,3143225,24
4071,3262587,31
4071,3298785,23
4071,3373013,34
4071,3377578,18
4071,3596665,17
4071,3747931,22
4071,3882340,29
4072,32790,10
4072,42931,5
4072,234027,9
4072,283068,13
4072,353718,1
4072,373966,17
4072,505984,26
4072,546715,21
4072,588080,33
4072,621114,31
4072,621116,32
4072,653079,11
4072,683145,6
4072,985751,34
4072,999845,16
4072,1034850,35
4072,1057385,30
4072,1117970,8
4072,1393138,28
4072,1522481,25
4072,1593002,15
4072,1671991,2
4072,1739265,20
4072,1876172,12
4072,1981220,19
4072,2054526,14
4072,2175104,22
4072,2432536,36
4072,2472056,4
4072,2755263,7
4072,2946565,29
4072,3159240,27
4072,3339939,3
4072,3412967,24
4072,3465970,23
4072,3918909,18
4075,89114,26
4075,148382,15
4075,183522,23
4075,722871,8
4075,824125,10
4075,865426,31
4075,1162220,3
4075,1299418,20
4075,1592522,24
4075,1920997,12
4075,2201769,14
4075,2375501,29
4075,2375927,5
4075,2496945,2
4075,2518834,13
4075,2643481,19
4075,2691517,21
4075,2726482,4
4075,2868711,11
4075,3062077,6
4075,3069046,25
4075,3232933,30
4075,3302173,27
4075,3375751,18
4075,3427019,16
4075,3545881,9
4075,3731714,1
4075,3851385,17
4075,3888747,22
4075,3896637,28
4075,3903532,7
4076,39674,56
4076,65865,37
4076,89103,50
4076,228678,29
4076,283459,4
4076,290229,48
4076,313166,2
4076,316709,59
4076,336235,27
4076,367886,22
4076,436462,54
4076,470549,30
4076,499503,12
4076,513423,32
4076,530403,24
4076,542238,1
4076,583944,62
4076,587780,9
4076,712233,34
4076,741946,53
4076,787493,26
4076,792573,44
4076,861346,3
4076,876500,15
4076,899895,47
4076,925040,10
4076,975770,21
4076,1183596,45
4076,1343740,23
4076,1400700,63
4076,1453616,16
4076,1482051,11
4076,1828546,49
4076,1839038,57
4076,1939692,39
4076,1940979,6
4076,1981311,28
4076,2178101,55
4076,2180741,25
4076,2243887,7
4076,2414271,64
4076,2518006,35
4076,2637759,31
4076,2761209,14
4076,2787384,20
4076,2881676,40
4076,2925612,58
4076,2929126,18
4076,2936168,8
4076,2992776,17
4076,3030657,33
4076,3176165,46
4076,3178465,5
4076,3214187,38
4076,3303590,51
4076,3345882,19
4076,3393669,60
4076,3432219,42
4076,3442528,61
4076,3646254,36
4076,3673714,43
4076,3807179,13
4076,3855389,41
4076,3861024,52
4077,114231,43
4077,172834,10
4077,181854,19
4077,187311,31
4077,235444,54
4077,317086,46
4077,370635,53
4077,416174,32
4077,457761,14
4077,463576,44
4077,664383,20
4077,699839,49
4077,705471,38
4077,741863,2
4077,794635,59
4077,925935,6
4077,1075306,15
4077,1332630,48
4077,1488802,21
4077,1493821,30
4077,1684174,28
4077,1740148,50
4077,1756306,56
4077,1928985,51
4077,1932656,24
4077,2102181,11
4077,2125676,4
4077,2192925,27
4077,2282051,29
4077,2287698,17
4077,2319690,42
4077,2449650,5
4077,2459788,23
4077,2493857,37
4077,2645997,16
4077,2730598,52
4077,2738143,18
4077,2797146,40
4077,2862878,33
4077,2899766,1
4077,2913441,12
4077,2927401,41
4077,2931377,58
4077,2932351,22
4077,3016482,36
4077,3088906,39
4077,3106072,60
4077,3237300,8
4077,3238757,9
4077,3266538,25
4077,3274743,34
4077,3326070,26
4077,3355622,55
4077,3481634,45
4077,3589177,57
4077,3655904,3
4077,3659289,7
4077,3765830,35
4077,3818132,47
4077,3872381,13
4132,39076,35
4132,90210,18
4132,134038,12
4132,214388,32
4132,459186,56
4132,506668,47
4132,607988,22
4132,713207,4
4132,758594,19
4132,905914,9
4132,924996,31
4132,938435,2
4132,1019772,5
4132,1143491,54
4132,1216563,58
4132,1217459,49
4132,1232106,23
4132,1245752,17
4132,1270721,21
4132,1276405,29
4132,1290791,1
4132,1406834,27
4132,1407299,46
4132,1465524,15
4132,1645268,50
4132,1646425,59
4132,1656123,20
4132,1727373,36
4132,1739405,44
4132,1778373,6
4132,1788611,34
4132,1974466,38
4132,2039877,55
4132,2040847,14
4132,2053813,16
4132,2105106,11
4132,2110106,26
4132,2176428,28
4132,2197582,13
4132,2283086,8
4132,2296218,39
4132,2322128,53
4132,2358253,25
4132,2375050,24
4132,2385946,51
4132,2397510,52
4132,2488465,57
4132,2489271,40
4132,2501388,45
4132,2532815,33
4132,2556779,48
4132,2688624,42
4132,2727997,62
4132,2733409,30
4132,2762822,43
4132,2881181,37
4132,3364132,7
4132,3629310,10
4132,3661883,61
4132,3685229,41
4132,3736385,60
4132,3898471,3
4133,32404,56
4133,61523,4
4133,89972,8
4133,209151,58
4133,235444,45
4133,258407,61
4133,263610,51
4133,338696,49
4133,455346,57
4133,511337,14
4133,513015,23
4133,560644,19
4133,591435,2
4133,610463,15
4133,621487,6
4133,644102,33
4133,675234,62
4133,739336,40
4133,866812,29
4133,902385,25
4133,1045353,48
4133,1087126,44
4133,1105646,32
4133,1112683,55
4133,1154934,17
4133,1191400,39
4133,1192473,38
4133,1227740,21
4133,1291088,22
4133,1292349,36
4133,1457593,13
4133,1480229,46
4133,1488624,9
4133,1494494,30
4133,1677363,47
4133,1691323,41
4133,1715844,42
4133,1804772,34
4133,1868526,37
4133,2062006,1
4133,2070356,60
4133,2071887,31
4133,2190574,20
4133,2259038,12
4133,2305222,27
4133,2346478,10
4133,2393161,35
4133,2417754,54
4133,2427896,3
4133,2456781,5
4133,2473310,50
4133,2532663,59
4133,2763770,28
4133,2804825,26
4133,2992952,43
4133,3058546,18
4133,3066863,24
4133,3085889,7
4133,3133451,16
4133,3156032,52
4133,3232104,53
4133,3391413,11
4138,5296,30
4138,87541,23
4138,235118,24
4138,244892,42
4138,278746,13
4138,291373,36
4138,321164,14
4138,408089,11
4138,418041,8
4138,435798,38
4138,510201,25
4138,611779,27
4138,731720,33
4138,735794,41
4138,943666,19
4138,993467,10
4138,1004814,26
4138,1012153,37
4138,1093389,5
4138,1119764,3
4138,1163627,29
4138,1206315,1
4138,1273318,16
4138,1578792,31
4138,1609889,39
4138,1747283,34
4138,1768609,9
4138,1784067,22
4138,1812744,7
4138,1917810,12
4138,1968531,6
4138,2181492,43
4138,2220090,40
4138,2444037,35
4138,2461412,20
4138,2738861,44
4138,2845577,18
4138,2891412,32
4138,2947621,4
4138,3026426,2
4138,3066381,45
4138,3532423,21
4138,3705534,17
4138,3718572,28
4138,3905772,15
4141,133985,1
4141,158053,17
4141,218525,27
4141,249524,18
4141,326847,16
4141,423194,29
4141,431226,36
4141,494272,5
4141,520692,19
4141,685408,26
4141,952264,30
4141,1013793,25
4141,1128835,11
4141,1341315,12
4141,1430684,8
4141,1635313,13
4141,1635722,22
4141,1715533,21
4141,1755068,9
4141,1870814,28
4141,1900527,14
4141,1992736,4
4141,1992737,23
4141,2020247,31
4141,2082212,6
4141,2089484,15
4141,2313288,10
4141,2388277,32
4141,2896989,24
4141,3042390,2
4141,3073764,7
4141,3254537,35
4141,3533630,3
4141,3626276,33
4141,3728177,20
4141,3876771,34
4142,44616,16
4142,112204,21
4142,171871,11
4142,213411,25
4142,316653,3
4142,338898,13
4142,341919,28
4142,351005,50
4142,365928,6
4142,518256,30
4142,716545,8
4142,722392,70
4142,823175,63
4142,847975,31
4142,1032186,29
4142,1154059,19
4142,1218335,45
4142,1337842,35
4142,1681146,1
4142,1866409,17
4142,1897937,68
4142,2022728,4
4142,2052059,27
4142,2108905,65
4142,2175065,18
4142,2197622,7
4142,2264734,61
4142,2453506,69
4142,2456242,15
4142,2470224,24
4142,2566454,49
4142,2573479,33
4142,2581270,57
4142,2592753,14
4142,2596115,67
4142,2610899,52
4142,2678219,39
4142,2724725,56
4142,2752858,59
4142,2769777,48
4142,2785329,55
4142,2821893,40
4142,2914668,2
4142,2934777,64
4142,2991248,36
4142,3006696,37
4142,3091628,12
4142,3173895,34
4142,3189233,32
4142,3208542,60
4142,3299620,43
4142,3303244,53
4142,3400198,58
4142,3426364,23
4142,3496048,44
4142,3542979,22
4142,3545659,41
4142,3565642,20
4142,3568392,5
4142,3685884,10
4142,3705221,66
4142,3731243,26
4142,3760814,9
4142,3761516,51
4142,3765540,62
4142,3766549,38
4142,3800055,42
4142,3804291,46
4142,3872477,54
4142,3881392,47
4147,65756,40
4147,66367,32
4147,89357,23
4147,124574,4
4147,310310,9
4147,360472,34
4147,571000,38
4147,583748,44
4147,755967,1
4147,783317,17
4147,955924,36
4147,963964,13
4147,988391,46
4147,1064781,29
4147,1077177,45
4147,1124545,28
4147,1274694,31
4147,1407150,37
4147,1426268,43
4147,1437955,16
4147,1474944,20
4147,1585449,10
4147,1938086,24
4147,2014405,8
4147,2038762,42
4147,2105258,14
4147,2265436,41
4147,2412534,25
4147,2483328,3
4147,2494356,30
4147,2518006,6
4147,2690704,5
4147,2881547,27
4147,2886130,26
4147,2946273,18
4147,3056116,39
4147,3076213,7
4147,3083434,19
4147,3110973,12
4147,3318230,35
4147,3398217,22
4147,3406560,11
4147,3564177,2
4147,3613629,33
4147,3788872,21
4147,3801294,15
4148,56175,16
4148,223406,26
4148,310643,27
4148,316709,28
4148,390730,29
4148,401477,50
4148,498094,7
4148,531681,30
4148,561819,31
4148,565786,1
4148,670601,33
4148,700591,35
4148,709994,15
4148,774153,11
4148,776271,36
4148,839649,17
4148,848564,37
4148,889678,39
4148,975691,40
4148,1037297,42
4148,1042217,43
4148,1080580,13
4148,1144240,45
4148,1201019,46
4148,1265092,48
4148,1342347,10
4148,1360643,49
4148,1447623,53
4148,1515732,57
4148,1516130,56
4148,1516563,55
4148,1564144,6
4148,1583145,58
4148,1603489,59
4148,1666501,24
4148,1680552,47
4148,1776883,62
4148,1778293,12
4148,1816825,63
4148,1851809,14
4148,1868442,64
4148,1902775,5
4148,1927598,65
4148,1936470,66
4148,1959502,68
4148,2016014,8
4148,2150019,70
4148,2221998,9
4148,2324710,18
4148,2377195,73
4148,2558754,25
4148,2823711,2
4148,2922398,32
4148,2933460,34
4148,3007276,21
4148,3010653,20
4148,3030396,38
4148,3036176,4
4148,3108939,41
4148,3171011,44
4148,3207220,23
4148,3316175,51
4148,3338289,52
4148,3368373,54
4148,3369417,19
4148,3441843,60
4148,3463310,61
4148,3563829,3
4148,3619481,22
4148,3625660,67
4148,3680779,69
4148,3832556,71
4148,3862596,72
4148,3883577,74
4149,25402,10
4149,108340,12
4149,110721,7
4149,120967,14
4149,125864,15
4149,149553,16
4149,150344,17
4149,242790,20
4149,254692,21
4149,272260,22
4149,291564,23
4149,335322,24
4149,427217,3
4149,429514,28
4149,451202,29
4149,511735,31
4149,647353,36
4149,736653,32
4149,769099,39
4149,816706,42
4149,830970,44
4149,838884,45
4149,871399,47
4149,893192,49
4149,938124,51
4149,971807,52
4149,1021402,53
4149,1041245,55
4149,1221565,56
4149,1224896,57
4149,1362358,58
4149,1478711,59
4149,1485984,9
4149,1486420,60
4149,1526636,61
4149,1539014,62
4149,1646407,64
4149,1653417,65
4149,1720929,66
4149,1758079,68
4149,1812413,8
4149,1900518,1
4149,1965248,4
4149,2023421,71
4149,2023580,72
4149,2087657,73
4149,2087674,74
4149,2128395,75
4149,2188548,78
4149,2223399,79
4149,2265989,80
4149,2272314,81
4149,2502248,88
4149,2524055,89
4149,2600377,2
4149,2605875,11
4149,2622276,13
4149,2670895,18
4149,2678266,19
4149,2745203,25
4149,2748879,26
4149,2750254,27
4149,2816292,30
4149,2855165,33
4149,2882010,34
4149,2882159,35
4149,2952534,37
4149,2968140,38
4149,2984380,40
4149,3003273,41
4149,3006305,43
4149,3026791,46
4149,3036210,48
4149,3067526,50
4149,3122770,54
4149,3446506,63
4149,3455744,76
4149,3513073,67
4149,3542658,69
4149,3569513,70
4149,3599993,5
4149,3736998,77
4149,3822294,82
4149,3844959,83
4149,3865300,84
4149,3897443,85
4149,3898726,86
4149,3919458,6
4149,3919716,87
4149,3946339,90
4152,82791,69
4152,241392,63
4152,245925,81
4152,277806,9
4152,277808,3
4152,282698,43
4152,290614,2
4152,362482,48
4152,413341,64
4152,422902,22
4152,424356,54
4152,430317,9
4152,460160,65
4152,486366,34
4152,498539,61
4152,630162,57
4152,630163,49
4152,630169,88
4152,630173,1
4152,664290,5
4152,703469,51
4152,810959,10
4152,851099,66
4152,884293,42
4152,906628,78
4152,914042,83
4152,915084,92
4152,928636,80
4152,928775,18
4152,1014047,32
4152,1022312,47
4152,1035247,79
4152,1108330,7
4152,1110449,86
4152,1118585,50
4152,1173612,23
4152,1395778,12
4152,1546626,70
4152,1643077,19
4152,1656704,71
4152,1670297,14
4152,1670318,13
4152,1702561,72
4152,1710365,41
4152,1713677,26
4152,1784491,77
4152,1785362,52
4152,1803192,60
4152,1878245,75
4152,1912667,40
4152,1919899,30
4152,1955948,67
4152,1972125,37
4152,2104714,39
4152,2249712,85
4152,2273960,76
4152,2285640,46
4152,2454272,21
4152,2681367,35
4152,2692210,82
4152,2754507,68
4152,2754647,59
4152,2782017,45
4152,2806191,55
4152,2825413,36
4152,2901058,38
4152,2901943,87
4152,2919996,33
4152,2929058,44
4152,2948148,28
4152,3021818,25
4152,3029789,15
4152,3055753,91
4152,3055858,84
4152,3081890,17
4152,3108704,8
4152,3113233,56
4152,3167107,73
4152,3268852,74
4152,3294550,27
4152,3312318,31
4152,3359199,53
4152,3381045,62
4152,3431089,4
4152,3524217,6
4152,3530192,24
4152,3541578,89
4152,3565695,11
4152,3610857,90
4152,3719638,20
4152,3782039,29
4152,3798882,93
4152,3804292,58
4155,29360,38
4155,36698,27
4155,82577,20
4155,143544,21
4155,157846,19
4155,280177,5
4155,283054,9
4155,329758,14
4155,333919,13
4155,343150,36
4155,428574,16
4155,606276,39
4155,695097,4
4155,719241,6
4155,863219,8
4155,1077307,28
4155,1341005,34
4155,1433935,15
4155,1491575,24
4155,1764059,29
4155,1965386,30
4155,2076737,40
4155,2458800,35
4155,2503938,31
4155,2587581,41
4155,2634266,26
4155,2677402,25
4155,2677484,23
4155,2771268,22
4155,2842409,18
4155,3084923,11
4155,3130164,3
4155,3163317,2
4155,3189076,37
4155,3367018,7
4155,3422073,10
4155,3546602,12
4155,3726806,32
4155,3765335,42
4155,3899537,33
4155,3950799,1
4156,6248,41
4156,164550,4
4156,277656,39
4156,337513,23
