userid,movieid,tagid,timestamp
146,5845,942,"2007-10-17 04:26:53"
146,5846,855,"2008-10-26 17:28:07"
146,5856,305,"2008-04-02 22:55:21"
146,5857,705,"2008-01-23 21:42:36"
146,5904,305,"2008-04-03 02:10:23"
146,6189,983,"2007-11-26 01:38:03"
146,6222,248,"2007-12-14 23:13:38"
146,6223,1050,"2007-02-09 03:17:51"
146,6234,503,"2007-11-26 05:55:49"
146,6270,1007,"2007-12-15 23:34:50"
146,6423,688,"2007-12-01 17:23:28"
146,6426,861,"2007-11-15 11:25:40"
146,6441,537,"2008-04-25 19:41:22"
146,6475,901,"2008-07-11 22:58:22"
146,6506,178,"2008-08-23 20:03:46"
146,6509,1047,"2007-11-20 21:05:01"
146,6561,582,"2007-12-06 20:49:02"
146,6586,813,"2007-11-22 04:52:06"
146,6594,1047,"2008-07-21 09:39:41"
146,6597,1050,"2007-02-09 03:19:05"
146,6654,572,"2008-03-24 01:30:43"
146,6757,801,"2007-12-15 06:25:51"
146,6759,107,"2008-08-25 20:52:05"
146,6762,141,"2008-03-03 11:13:40"
146,6768,107,"2006-10-30 20:13:11"
146,6777,770,"2006-10-12 05:08:22"
146,6829,210,"2006-10-12 04:12:57"
146,6834,132,"2007-12-01 06:54:14"
146,6844,210,"2006-10-12 04:23:50"
146,6846,107,"2006-10-30 20:16:05"
146,7029,507,"2007-11-20 20:30:58"
146,7034,995,"2007-05-02 01:00:05"
146,7045,107,"2008-03-22 21:52:20"
146,7047,305,"2008-04-02 20:04:18"
146,7049,107,"2008-07-18 20:40:18"
146,7050,107,"2006-10-30 19:24:19"
146,7051,107,"2006-10-30 19:44:43"
146,7143,883,"2007-11-22 03:51:45"
146,7146,507,"2007-11-20 20:16:01"
146,7202,159,"2006-08-19 17:10:49"
146,7206,568,"2007-11-28 05:13:23"
146,7251,562,"2007-12-04 20:23:36"
146,7260,989,"2007-12-24 01:05:39"
146,7263,1047,"2006-11-04 03:53:15"
146,7267,623,"2008-09-04 05:05:07"
146,7325,132,"2007-12-01 06:30:34"
146,7330,161,"2007-11-23 06:23:48"
146,7331,140,"2008-02-28 05:23:08"
146,7753,877,"2006-10-12 04:38:03"
146,7755,406,"2007-12-01 06:39:01"
146,7861,1047,"2007-08-09 20:05:23"
146,7934,132,"2007-12-01 06:24:43"
146,8080,111,"2007-12-16 05:01:00"
146,8082,305,"2008-04-02 22:01:19"
146,8108,66,"2007-10-27 21:00:12"
146,8211,888,"2007-12-10 19:07:51"
146,8214,566,"2008-10-05 21:52:30"
146,8215,141,"2008-03-03 11:16:19"
146,8235,645,"2007-11-25 05:45:58"
146,8254,903,"2006-05-27 04:21:21"
146,8259,507,"2008-04-30 01:32:51"
146,8263,728,"2008-03-29 01:36:52"
146,8266,901,"2008-07-09 03:06:09"
146,8274,132,"2007-12-01 06:32:30"
146,8281,354,"2007-12-15 06:11:56"
146,8282,901,"2008-04-28 21:51:35"
146,8652,1039,"2007-11-01 17:09:47"
146,8672,66,"2007-11-26 01:32:11"
146,8695,107,"2008-11-16 21:00:56"
146,8726,995,"2007-10-17 03:59:39"
146,8731,537,"2008-04-25 19:40:49"
146,8732,1039,"2007-11-01 17:06:05"
146,8737,914,"2007-11-20 21:19:27"
146,8741,305,"2008-04-22 19:23:58"
146,8772,959,"2008-12-17 22:51:31"
146,8784,134,"2008-09-12 20:55:32"
146,8826,1047,"2008-10-05 21:47:19"
146,9102,728,"2008-03-29 01:36:43"
146,9291,877,"2008-04-16 19:20:54"
283,7143,1047,"2006-01-14 14:26:56"
284,5282,864,"2007-08-27 21:08:48"
284,7034,1024,"2007-08-27 21:08:48"
284,7920,840,"2007-08-27 21:12:16"
284,7942,19,"2007-08-27 21:13:25"
299,4355,230,"2007-08-27 21:25:33"
325,8784,470,"2007-07-28 15:55:27"
487,4355,230,"2007-08-28 08:15:22"
538,4355,979,"2007-08-28 10:17:27"
622,6151,548,"2008-07-07 19:26:01"
622,6642,1059,"2008-07-07 19:23:17"
637,7265,445,"2007-01-10 07:30:00"
692,4899,419,"2007-08-28 23:46:50"
692,8652,419,"2007-08-28 23:58:00"
692,8900,107,"2007-08-28 23:59:03"
850,5293,300,"2007-08-29 22:35:03"
877,4787,323,"2007-10-09 02:09:34"
877,4899,863,"2007-10-09 02:08:41"
922,6266,442,"2007-08-30 12:21:56"
1000,5282,863,"2007-08-30 21:05:50"
1000,7034,375,"2007-08-30 21:06:01"
1017,4155,863,"2007-08-31 04:02:27"
1024,6266,364,"2007-08-31 04:47:02"
1024,6278,445,"2007-08-31 04:54:28"
1042,7920,315,"2007-08-31 07:27:56"
1049,7034,535,"2007-08-31 07:28:30"
1056,4155,201,"2007-08-31 08:14:16"
1056,5282,201,"2007-08-31 08:17:48"
1056,7034,1104,"2007-08-31 08:17:56"
1107,4275,112,"2007-08-31 11:14:14"
1107,5170,141,"2007-08-31 11:29:19"
1118,4870,498,"2008-07-09 12:03:58"
1225,6759,323,"2007-09-01 08:26:44"
1282,7034,378,"2007-09-01 14:49:48"
1436,4355,230,"2007-09-02 09:47:57"
1436,7920,315,"2007-09-02 09:49:03"
1510,5959,456,"2006-11-30 20:15:23"
1553,6266,417,"2007-09-03 09:24:25"
1553,6759,1025,"2007-09-03 09:23:56"
1575,5282,671,"2007-09-03 11:34:47"
1663,5433,882,"2007-09-03 22:51:52"
1698,5282,606,"2007-09-04 05:55:09"
1713,6774,212,"2007-09-20 05:29:39"
1751,4155,439,"2006-01-17 12:28:45"
1751,4355,439,"2006-01-17 12:43:23"
1751,4626,1013,"2006-01-17 12:42:58"
1751,4793,785,"2006-01-17 12:17:05"
1751,4899,439,"2006-01-17 12:51:18"
1751,5204,439,"2006-01-17 12:44:24"
1751,5254,988,"2006-01-17 13:01:44"
1751,5349,309,"2006-01-17 12:44:08"
1751,5523,439,"2006-01-17 12:44:49"
1751,5775,151,"2006-01-17 13:29:29"
1751,6270,785,"2006-01-17 12:17:41"
1751,6423,988,"2006-01-17 12:53:35"
1751,6475,1013,"2006-01-17 12:51:00"
1751,6762,224,"2006-01-17 12:45:36"
1751,6763,1009,"2006-01-17 12:17:56"
1751,7054,88,"2006-01-17 12:34:36"
1751,7060,439,"2006-01-17 12:52:47"
1751,7260,988,"2006-01-17 12:46:45"
1751,7309,1009,"2006-01-17 12:18:01"
1751,7934,988,"2006-01-17 13:14:47"
1858,6762,224,"2006-02-07 05:05:23"
1915,6759,469,"2007-09-05 08:19:09"
1920,6266,445,"2007-09-05 10:07:01"
1920,6759,1072,"2007-09-05 10:04:58"
1920,8096,1085,"2007-09-05 10:07:01"
1988,5123,309,"2006-01-15 16:00:26"
2030,4274,309,"2006-11-08 05:53:13"
2030,4793,785,"2006-11-08 05:43:46"
2030,4882,824,"2006-11-08 05:40:01"
2030,5349,309,"2006-11-08 05:47:52"
2030,5533,824,"2006-11-08 05:39:37"
2030,5784,309,"2006-11-08 06:01:39"
2030,6270,785,"2006-11-08 05:43:39"
2030,6778,309,"2006-11-08 05:46:26"
2030,7234,824,"2006-11-08 05:40:07"
2030,7261,309,"2006-11-08 05:57:19"
2158,4275,19,"2007-09-06 20:26:06"
2456,4214,64,"2006-11-09 12:35:15"
2456,5351,87,"2006-11-09 13:00:26"
2456,6231,952,"2006-11-09 12:55:58"
2456,6763,1009,"2006-11-09 12:30:57"
2456,7248,995,"2006-11-09 12:51:25"
2456,7322,503,"2006-11-09 13:49:44"
2456,8171,1128,"2008-04-20 13:31:01"
2456,8777,431,"2006-11-09 12:48:18"
2477,4355,201,"2007-09-09 03:34:14"
2477,5282,608,"2007-09-09 03:31:14"
2477,6119,935,"2007-09-09 03:36:06"
2477,8096,612,"2007-09-09 03:36:52"
2513,7755,623,"2007-05-20 07:03:30"
2643,4641,577,"2006-11-13 11:52:05"
2643,5057,732,"2008-10-05 19:40:29"
2643,5199,847,"2007-05-18 08:52:59"
2643,7755,492,"2006-11-13 13:23:19"
2643,8171,1128,"2006-11-13 11:50:26"
2852,6512,771,"2006-05-16 13:00:04"
2901,4355,230,"2007-09-10 17:08:37"
2901,5349,279,"2007-09-10 17:14:51"
2901,6119,279,"2007-09-10 17:10:18"
2978,4355,417,"2007-09-10 19:41:08"
2978,6119,935,"2007-09-10 19:42:23"
3017,4275,1074,"2007-09-10 19:47:00"
3017,4882,652,"2007-09-10 19:41:30"
3017,6119,959,"2007-09-10 19:45:52"
3017,6266,991,"2007-09-10 19:48:06"
3017,6759,113,"2007-09-10 19:47:09"
3017,7920,818,"2007-09-10 19:39:55"
3017,8096,850,"2007-09-10 19:48:12"
3028,8281,471,"2007-09-10 19:48:22"
3058,5350,778,"2006-07-23 03:16:16"
3058,6426,722,"2006-01-29 15:42:13"
3058,6482,1004,"2006-07-15 07:25:54"
3058,7050,778,"2006-07-23 03:16:48"
3058,7056,125,"2006-07-11 04:16:47"
3058,8166,811,"2006-07-15 07:16:27"
3174,6454,777,"2006-08-04 22:55:37"
3192,5783,887,"2006-11-11 11:51:27"
3192,6428,784,"2006-11-11 11:00:23"
3224,5805,331,"2008-09-07 23:59:30"
3304,6426,414,"2006-01-27 02:42:21"
3304,7248,642,"2006-01-17 03:01:23"
3304,7934,632,"2006-01-24 01:30:48"
3392,5386,505,"2008-07-17 09:25:47"
3392,6759,746,"2008-07-17 09:23:58"
3392,8171,1128,"2008-07-17 09:16:04"
3489,4155,863,"2007-09-11 14:33:24"
3489,4355,230,"2007-09-11 14:36:05"
3489,4882,1025,"2007-09-11 14:36:37"
3489,7920,315,"2007-09-11 14:36:25"
3490,8263,135,"2007-01-07 01:33:49"
3595,5805,54,"2007-09-11 18:24:17"
3825,4882,849,"2007-09-12 14:51:28"
3844,5572,315,"2006-11-13 12:13:24"
3844,6270,64,"2006-11-13 12:13:12"
3844,7309,1009,"2006-11-13 12:11:56"
3849,4630,425,"2008-07-18 14:00:03"
3911,4882,887,"2007-09-12 23:48:22"
3962,5254,705,"2006-10-01 18:00:22"
3962,7934,705,"2006-10-01 18:00:24"
4022,5775,573,"2007-03-16 15:23:11"
4341,4781,887,"2006-05-05 17:06:33"
4341,4785,1028,"2006-05-04 06:35:09"
4341,4787,374,"2006-05-07 01:25:37"
4341,6223,824,"2006-05-05 16:54:20"
4341,6273,202,"2006-05-05 16:59:09"
4341,6600,575,"2006-05-04 05:44:58"
4341,6839,824,"2006-05-07 01:23:05"
4341,7627,425,"2006-05-05 17:17:54"
4341,8263,905,"2006-05-04 06:43:55"
4341,8937,440,"2006-05-04 05:18:46"
4650,4785,689,"2007-09-16 16:04:10"
4650,7248,613,"2007-09-16 16:00:53"
4697,4214,417,"2006-02-19 16:26:58"
4697,7248,974,"2006-02-19 16:25:07"
4944,4780,647,"2007-09-25 01:38:29"
5002,7248,863,"2007-09-27 13:51:46"
5020,7248,995,"2006-11-19 05:35:40"
5031,5283,887,"2006-11-17 14:14:22"
5161,6600,1029,"2006-02-05 08:05:55"
5161,7239,986,"2006-01-14 06:40:19"
5285,7248,995,"2006-01-24 13:13:17"
5325,4785,995,"2008-08-20 09:25:59"
5637,4549,812,"2006-03-31 22:11:59"
5739,9079,202,"2006-08-08 08:25:02"
5936,6774,212,"2007-09-23 12:59:59"
6038,6428,414,"2006-01-15 17:30:10"
6119,4683,746,"2008-07-26 04:22:33"
6119,4882,849,"2008-07-28 01:01:08"
6119,5058,1080,"2008-07-29 03:31:06"
6119,6223,1050,"2008-08-04 15:14:59"
6119,6454,1047,"2008-09-14 05:17:25"
6119,7062,672,"2008-07-27 23:16:59"
6119,7204,855,"2008-07-28 02:20:47"
6119,8741,331,"2008-09-14 05:11:51"
6289,7887,727,"2007-01-02 13:25:35"
6385,5282,846,"2006-02-20 10:09:03"
6393,7041,533,"2006-01-30 20:17:32"
6393,7248,163,"2006-01-30 20:17:11"
6393,7320,792,"2006-02-05 16:12:37"
6393,7877,533,"2006-02-05 16:11:12"
6393,8113,792,"2006-02-05 16:09:24"
6393,8129,307,"2006-02-05 16:11:10"
6393,8159,155,"2006-02-05 16:10:39"
6393,8245,307,"2006-01-13 21:37:58"
6449,6119,400,"2006-11-24 18:04:16"
6625,4058,919,"2008-03-26 06:31:22"
6862,4630,425,"2008-07-09 18:05:15"
6927,6665,149,"2007-11-11 13:26:16"
6946,5572,315,"2006-11-27 03:48:53"
7088,5520,118,"2006-12-03 06:30:07"
7088,5890,268,"2006-11-28 04:01:43"
7315,4785,1013,"2006-11-27 02:44:21"
7315,6237,25,"2006-12-24 15:15:16"
7357,6654,863,"2006-02-14 05:00:12"
7536,6270,785,"2006-02-04 17:00:09"
7625,5320,1024,"2006-01-14 08:59:01"
7625,6119,1035,"2006-01-14 08:58:29"
7625,6763,145,"2006-01-14 08:48:17"
7625,7041,1035,"2006-01-14 08:47:12"
7625,7248,1024,"2006-01-14 08:57:31"
7625,7942,417,"2006-01-14 08:59:27"
7625,8163,864,"2006-01-14 09:01:48"
7704,4954,177,"2006-12-14 22:46:14"
7815,4214,64,"2006-01-08 19:36:49"
7815,4793,64,"2006-01-08 19:36:55"
7815,5572,315,"2006-01-08 19:35:28"
7815,7815,315,"2006-01-08 19:35:44"
7815,7920,315,"2006-01-08 19:47:38"
7815,8315,315,"2006-01-08 19:56:11"
7939,9065,163,"2006-08-07 04:36:38"
8041,5282,606,"2006-05-26 07:58:59"
8041,5694,508,"2006-05-26 08:01:47"
8041,6752,686,"2007-02-21 05:37:24"
8041,6834,508,"2006-05-26 07:58:11"
8114,9203,792,"2006-10-02 10:29:30"
8282,6270,309,"2006-02-09 15:34:42"
8302,4057,824,"2006-01-16 08:27:50"
8302,4785,824,"2006-01-16 08:17:58"
8302,4882,824,"2006-01-16 08:21:13"
8302,4921,824,"2006-01-16 08:23:15"
8302,6187,824,"2006-01-16 08:22:06"
8302,6223,824,"2006-01-16 08:29:11"
8302,6482,824,"2006-01-16 08:21:34"
8302,6839,824,"2006-01-16 08:28:38"
8381,4780,995,"2008-10-20 15:36:11"
8381,7248,996,"2008-10-20 15:37:18"
8434,6428,29,"2006-02-06 10:59:00"
8584,4917,1097,"2008-09-18 12:22:01"
8610,8777,1047,"2007-11-13 08:38:43"
8624,4132,1121,"2007-07-29 18:58:27"
8624,5386,505,"2007-07-25 00:09:30"
8624,7248,615,"2007-04-01 21:50:03"
8683,4063,309,"2006-12-08 15:59:17"
8683,4274,309,"2006-12-07 16:23:45"
8683,5015,309,"2006-12-06 12:22:35"
8683,5204,201,"2006-12-06 12:49:35"
8683,6152,309,"2006-12-09 16:04:16"
8683,6428,1001,"2006-12-06 08:34:25"
8727,5057,720,"2006-09-18 09:40:41"
8777,4155,439,"2006-01-12 14:01:53"
9029,4785,1028,"2008-08-04 11:46:33"
9030,4214,186,"2006-01-12 20:57:43"
9117,8760,433,"2007-01-09 14:15:39"
9127,6840,601,"2007-10-21 15:22:44"
9127,7815,1073,"2007-10-21 15:24:20"
9316,4075,842,"2006-01-15 18:26:17"
9316,4141,961,"2006-01-23 09:13:44"
9316,4214,372,"2006-01-13 19:26:26"
9316,4355,598,"2006-01-23 09:11:14"
9316,4546,304,"2006-01-15 18:24:52"
9316,4547,674,"2006-01-15 18:31:11"
9316,4549,26,"2006-01-23 09:10:52"
9316,4730,1102,"2006-01-23 09:13:11"
9316,4781,821,"2006-01-15 18:33:06"
9316,4785,1028,"2006-01-13 19:29:41"
9316,4870,498,"2006-01-23 11:02:02"
9316,4922,832,"2006-01-23 11:01:11"
9316,5041,541,"2006-01-13 15:41:00"
9316,5171,268,"2006-01-23 11:02:25"
9316,5199,847,"2006-01-23 10:59:37"
9316,5254,989,"2006-01-13 19:34:28"
9316,5350,419,"2006-01-13 19:33:27"
9316,5351,87,"2006-01-13 12:46:13"
9316,5355,1116,"2006-01-23 11:00:55"
9316,5356,645,"2006-01-15 18:34:47"
9316,5407,45,"2006-01-13 19:34:25"
9316,5432,154,"2006-01-23 11:02:52"
9316,5482,26,"2006-01-23 11:00:26"
9316,5533,489,"2006-02-04 06:31:24"
9316,5536,150,"2006-01-23 11:00:02"
9316,5694,75,"2006-01-23 10:59:41"
9316,5723,685,"2006-01-23 11:03:39"
9316,5890,268,"2006-01-23 10:58:57"
9316,5904,1019,"2006-01-26 13:24:18"
9316,6057,350,"2006-01-26 13:28:21"
9316,6060,26,"2006-01-26 13:23:51"
9316,6098,645,"2006-01-26 13:29:11"
9316,6119,935,"2006-01-23 10:58:22"
9316,6168,26,"2006-01-26 13:27:41"
9316,6181,268,"2006-01-26 13:27:29"
9316,6188,422,"2006-01-26 13:24:04"
9316,6231,952,"2006-01-23 11:10:07"
9316,6237,421,"2006-01-26 13:27:24"
9316,6266,847,"2006-01-15 18:31:16"
9316,6270,397,"2006-01-23 11:06:33"
9316,6273,202,"2006-01-13 19:28:58"
9316,6424,800,"2006-01-15 18:27:19"
9316,6425,1001,"2006-01-26 13:28:46"
9316,6428,1001,"2006-01-26 13:27:37"
9316,6454,523,"2006-01-26 13:28:08"
9316,6509,179,"2006-01-13 19:28:35"
9316,6600,575,"2006-01-26 13:25:43"
9316,6642,61,"2006-01-26 13:28:15"
9316,6657,847,"2006-01-23 11:08:34"
9316,6659,1021,"2006-01-26 13:26:52"
9316,6665,541,"2006-01-13 12:45:44"
9316,6752,885,"2006-01-26 13:28:04"
9316,6759,587,"2006-01-26 13:27:04"
9316,6763,850,"2006-01-23 11:07:52"
9316,6819,582,"2006-01-13 12:46:22"
9316,7047,903,"2006-01-23 11:08:45"
9316,7049,214,"2006-01-23 11:05:48"
9316,7143,673,"2006-01-23 11:10:57"
9316,7172,26,"2006-01-23 11:10:37"
9316,7248,642,"2006-01-13 19:30:08"
9316,7309,850,"2006-01-13 19:32:28"
9316,7322,503,"2006-01-13 19:32:42"
9316,7753,847,"2006-01-23 11:17:00"
9316,7755,1115,"2006-01-13 18:39:44"
9316,7763,503,"2006-01-23 11:16:16"
9316,7856,562,"2006-01-23 11:14:31"
9316,7920,1022,"2006-01-23 11:14:43"
9316,8082,824,"2006-01-23 11:15:05"
9316,8107,87,"2006-01-23 11:14:12"
9316,8171,1128,"2006-01-23 11:17:05"
9316,8211,1028,"2006-01-23 11:16:51"
9316,8235,824,"2006-01-23 11:17:42"
9316,8246,1110,"2006-01-23 11:17:22"
9316,8248,17,"2006-01-23 11:17:52"
9316,8267,775,"2006-01-23 11:14:46"
9316,8315,582,"2006-01-23 11:14:06"
9316,8745,850,"2006-01-13 19:32:33"
9316,8772,159,"2006-01-23 11:18:40"
9316,8777,431,"2006-01-13 19:31:57"
9316,8919,629,"2006-01-23 11:19:24"
9411,8159,1128,"2007-10-05 01:23:30"
9426,5254,951,"2006-01-14 04:34:51"
9475,5433,782,"2006-01-19 09:56:39"
9475,6561,782,"2006-01-19 09:58:06"
9522,6423,988,"2006-01-13 12:08:04"
9522,6819,582,"2006-02-12 19:23:13"
9595,4075,842,"2007-11-02 08:42:49"
9595,5384,983,"2008-07-26 06:23:10"
9811,5855,575,"2006-01-16 09:17:14"
9970,7753,763,"2007-10-10 16:54:48"
9976,5438,871,"2006-01-16 20:41:52"
10032,4155,416,"2006-01-20 22:22:03"
10032,4297,599,"2006-12-20 22:54:49"
10032,4787,374,"2006-01-20 22:26:16"
10032,5127,599,"2006-01-20 22:26:04"
10032,5350,419,"2006-01-20 22:28:14"
10032,7934,232,"2006-01-20 22:29:48"
10032,7942,861,"2006-01-20 22:20:48"
10032,8215,599,"2007-01-02 21:55:01"
10032,8266,416,"2006-01-20 22:25:25"
10032,8983,599,"2006-07-17 15:10:38"
10032,9113,599,"2006-01-20 22:29:16"
10032,9130,599,"2006-12-20 23:13:57"
10058,7248,995,"2008-08-08 02:50:42"
10059,8254,554,"2006-01-18 00:22:14"
10084,4214,372,"2006-01-17 05:18:47"
10181,5775,151,"2006-01-17 14:06:15"
10181,6270,785,"2006-01-17 14:08:59"
10555,4633,644,"2008-11-13 03:53:20"
10555,4780,600,"2008-06-28 07:44:11"
10555,5040,813,"2007-09-16 02:51:09"
10555,5199,385,"2007-12-15 10:45:20"
10555,5533,144,"2007-09-17 13:52:46"
10555,5536,339,"2008-08-01 09:02:11"
10555,5572,835,"2007-03-19 08:14:29"
10555,5691,1117,"2008-07-27 00:30:17"
10555,5857,422,"2008-06-08 09:33:03"
10555,5958,672,"2007-05-05 03:53:21"
10555,6392,672,"2007-05-05 11:21:43"
10555,6561,781,"2007-03-11 10:00:55"
10555,6600,763,"2007-08-31 06:10:44"
10555,7034,385,"2008-09-14 12:42:34"
10555,7062,672,"2007-05-05 05:59:56"
10555,7143,998,"2007-01-01 17:09:29"
10555,7248,642,"2007-03-15 05:01:21"
10555,7260,966,"2008-06-07 05:31:53"
10555,7309,946,"2007-09-12 11:31:17"
10555,7330,813,"2007-02-07 11:09:41"
10555,7749,863,"2007-03-25 12:47:22"
10555,7872,721,"2007-04-15 06:54:27"
10555,8162,92,"2007-09-05 08:23:03"
10555,8171,164,"2008-10-19 02:28:19"
10555,8254,218,"2007-06-15 06:01:00"
10555,8688,442,"2008-08-20 14:12:32"
10555,8741,732,"2008-12-30 13:00:25"
10555,8881,1121,"2008-02-01 11:14:16"
10555,8937,339,"2008-07-31 07:10:42"
10555,9079,819,"2007-05-01 14:57:34"
10674,5188,1014,"2008-01-27 11:47:29"
10739,7248,995,"2006-04-10 15:58:30"
10788,4214,588,"2006-01-19 10:18:04"
10913,6094,445,"2006-01-19 20:10:05"
10936,7248,642,"2006-01-19 23:08:02"
11032,7815,343,"2006-01-15 20:53:53"
11239,4354,244,"2008-03-03 19:27:54"
11271,4155,450,"2007-12-08 13:49:14"
11271,4899,450,"2007-12-08 13:25:31"
11271,5523,450,"2007-12-08 13:28:01"
11271,7041,450,"2007-12-08 13:28:42"
11271,8266,450,"2007-12-08 13:28:26"
11368,8777,1011,"2006-01-21 18:53:28"
11424,7755,623,"2006-12-16 21:59:02"
11457,4870,464,"2006-01-22 06:49:58"
11457,5254,704,"2006-01-22 06:47:02"
11457,7755,492,"2006-01-22 06:48:58"
11613,3963,104,"2006-04-15 11:06:15"
11613,4057,903,"2007-06-08 07:15:05"
11613,4214,748,"2006-03-13 14:46:49"
11613,4650,849,"2006-06-03 19:20:02"
11613,4683,746,"2006-02-26 17:45:42"
11613,4751,498,"2006-02-21 15:46:50"
11613,4870,498,"2006-02-21 15:38:16"
11613,4881,503,"2006-02-21 16:07:52"
11613,4922,747,"2006-02-25 12:01:11"
11613,5369,749,"2006-03-19 10:45:58"
11613,6058,232,"2006-03-15 06:08:14"
11613,6119,935,"2006-02-21 15:58:51"
11613,6231,952,"2007-06-30 10:49:30"
11613,6270,748,"2006-03-13 14:46:03"
11613,6752,862,"2007-01-28 17:12:20"
11613,6759,746,"2006-02-26 17:46:28"
11613,6834,749,"2006-03-19 10:46:22"
11613,7047,747,"2006-02-25 12:02:06"
11613,7049,759,"2006-03-05 16:17:32"
11613,7204,855,"2006-02-23 19:45:45"
11613,8245,849,"2006-06-03 19:14:04"
11613,8267,775,"2007-06-06 17:17:07"
11613,8281,498,"2006-02-21 15:49:09"
11613,8772,756,"2006-02-23 19:01:12"
11744,5254,988,"2006-12-29 12:12:51"
11744,6270,785,"2006-12-29 12:13:20"
11744,7248,995,"2006-12-29 12:11:56"
11744,7627,903,"2007-03-30 12:44:05"
11744,7934,232,"2006-12-29 12:12:25"
11744,8263,135,"2007-09-18 20:51:01"
11744,8777,431,"2006-12-29 12:12:33"
11760,6373,268,"2007-10-16 18:12:38"
11802,6763,1009,"2006-01-23 11:34:48"
11824,4132,1096,"2007-10-16 19:09:06"
11825,7763,230,"2008-08-15 08:23:59"
11898,4214,371,"2007-12-17 23:48:16"
11898,4359,1102,"2006-10-20 18:31:09"
11898,4551,849,"2006-01-25 21:51:52"
11898,4785,1028,"2006-06-25 23:30:29"
11898,5407,45,"2006-01-23 19:45:43"
11898,5856,821,"2008-05-18 15:40:25"
11898,5857,1047,"2006-01-25 21:52:55"
11898,6371,333,"2006-01-25 21:52:41"
11898,6509,954,"2006-01-21 13:54:42"
11898,6752,684,"2006-01-25 21:53:17"
11898,7056,811,"2006-09-04 15:53:19"
11898,7763,701,"2008-02-11 20:53:09"
11898,7942,419,"2006-01-21 17:27:20"
11898,8211,1028,"2008-07-03 00:08:23"
11898,8254,994,"2008-04-25 14:42:11"
11898,8315,561,"2008-08-24 15:37:31"
11898,8937,809,"2006-06-17 19:07:04"
12025,4785,1028,"2006-12-20 14:13:09"
12025,4870,498,"2006-12-20 14:21:40"
12025,5572,315,"2006-12-20 14:13:31"
12025,6454,1047,"2006-12-20 13:56:58"
12025,7047,1047,"2006-12-20 13:56:12"
12025,7143,1059,"2006-12-20 14:08:30"
12025,8737,1059,"2006-12-20 14:11:47"
12064,6844,141,"2008-08-21 03:58:07"
12126,6643,554,"2006-01-24 19:13:31"
12265,4214,64,"2006-01-19 17:01:37"
12265,5369,741,"2006-05-14 18:24:05"
12267,7248,829,"2006-01-25 11:33:05"
12429,7143,673,"2008-02-03 11:44:30"
12458,5350,1028,"2008-08-27 20:38:22"
12626,8881,515,"2007-01-09 01:23:12"
12759,5572,818,"2007-10-23 09:59:21"
12759,7815,818,"2007-10-23 10:04:22"
12759,7920,818,"2007-10-23 09:59:34"
12950,9090,709,"2006-01-28 20:54:51"
13086,7856,262,"2006-01-27 18:33:29"
13159,5159,19,"2006-01-28 10:29:57"
13159,6426,19,"2006-01-28 10:29:18"
13230,6829,164,"2006-01-28 20:48:32"
13230,8741,164,"2006-01-28 20:48:02"
13403,5364,417,"2006-02-08 17:04:53"
13403,6266,417,"2006-02-07 16:15:47"
